topic_id,category,title,author,created_at_raw,created_at_iso,fetched_at_raw,fetched_at_iso,source_url,file_path,approx_chars,approx_tokens,data_quality,status
11,roles,galekkomari的角色 - 逸散墨菲 ACT III,galekkomari,"九月 07, 2025, 10:39 下午",2025-09-07T22:39:00+08:00,2026-06-10 10:34:06 +0800,2026-06-10T10:34:06.076390+08:00,https://number81.xyz/index.php?topic=11.0,kb/roles/11-galekkomari-act-iii.md,1356,678,ok,updated
14,roles,小可的角色 - 极限侠（MAX MAN）,小可,"九月 07, 2025, 10:59 下午",2025-09-07T22:59:00+08:00,2026-06-10 10:34:06 +0800,2026-06-10T10:34:06.971592+08:00,https://number81.xyz/index.php?topic=14.0,kb/roles/14-max-man.md,3894,1947,ok,updated
17,roles,增熵星的角色 - 灰流丽,增熵星,"九月 07, 2025, 11:07 下午",2025-09-07T23:07:00+08:00,2026-06-10 10:34:07 +0800,2026-06-10T10:34:07.877795+08:00,https://number81.xyz/index.php?topic=17.0,kb/roles/17-topic.md,867,434,ok,updated
19,roles,玄羽的角色 - 玄羽（救世主）,玄羽,"九月 07, 2025, 11:19 下午",2025-09-07T23:19:00+08:00,2026-06-10 10:34:08 +0800,2026-06-10T10:34:08.976569+08:00,https://number81.xyz/index.php?topic=19.0,kb/roles/19-topic.md,2843,1422,ok,updated
21,roles,紫宵的角色 - “野兽冥刻者”，莱西（旧）,紫宵,"九月 08, 2025, 12:56 上午",2025-09-08T00:56:00+08:00,2026-06-10 10:34:09 +0800,2026-06-10T10:34:09.824760+08:00,https://number81.xyz/index.php?topic=21.0,kb/roles/21-topic.md,2665,1333,ok,updated
23,roles,galekkomari的角色 - 界·蓝家姬奈,galekkomari,"九月 08, 2025, 09:09 上午",2025-09-08T09:09:00+08:00,2026-06-10 10:34:10 +0800,2026-06-10T10:34:10.748609+08:00,https://number81.xyz/index.php?topic=23.0,kb/roles/23-galekkomari.md,2163,1082,ok,updated
26,roles,Jerry的角色 - 天道总司,Jerry,"九月 08, 2025, 09:48 上午",2025-09-08T09:48:00+08:00,2026-06-10 10:34:11 +0800,2026-06-10T10:34:11.594800+08:00,https://number81.xyz/index.php?topic=26.0,kb/roles/26-jerry.md,9915,4958,ok,updated
29,roles,增熵星的角色 - 格林达姆,增熵星,"九月 08, 2025, 09:56 上午",2025-09-08T09:56:00+08:00,2026-06-10 10:34:12 +0800,2026-06-10T10:34:12.407982+08:00,https://number81.xyz/index.php?topic=29.0,kb/roles/29-topic.md,1116,558,ok,updated
31,roles,紫宵的角色 - 门仓甲,紫宵,"九月 08, 2025, 10:15 上午",2025-09-08T10:15:00+08:00,2026-06-10 10:34:13 +0800,2026-06-10T10:34:13.278178+08:00,https://number81.xyz/index.php?topic=31.0,kb/roles/31-topic.md,3137,1569,ok,updated
32,roles,Jerry的角色 - 恩里克·普奇,Jerry,"九月 08, 2025, 10:19 上午",2025-09-08T10:19:00+08:00,2026-06-10 10:34:14 +0800,2026-06-10T10:34:14.131370+08:00,https://number81.xyz/index.php?topic=32.0,kb/roles/32-jerry.md,5049,2525,ok,updated
34,roles,失智毛玉的角色 - 主神,失智毛玉,"九月 08, 2025, 10:21 上午",2025-09-08T10:21:00+08:00,2026-06-10 10:34:14 +0800,2026-06-10T10:34:14.959555+08:00,https://number81.xyz/index.php?topic=34.0,kb/roles/34-topic.md,4032,2016,ok,updated
36,roles,终末的角色 - 魔法少女人格聚合体,Ender_Eragon,"九月 08, 2025, 10:24 上午",2025-09-08T10:24:00+08:00,2026-06-10 10:34:15 +0800,2026-06-10T10:34:15.788742+08:00,https://number81.xyz/index.php?topic=36.0,kb/roles/36-topic.md,798,399,ok,updated
37,roles,Jerry的角色 - 五代雄介,Jerry,"九月 08, 2025, 10:24 上午",2025-09-08T10:24:00+08:00,2026-06-10 10:34:16 +0800,2026-06-10T10:34:16.625929+08:00,https://number81.xyz/index.php?topic=37.0,kb/roles/37-jerry.md,4081,2041,ok,updated
38,roles,紫宵的角色 - 水无月空（旧）,紫宵,"九月 08, 2025, 10:29 上午",2025-09-08T10:29:00+08:00,2026-06-10 10:34:17 +0800,2026-06-10T10:34:17.490124+08:00,https://number81.xyz/index.php?topic=38.0,kb/roles/38-topic.md,2102,1051,ok,updated
